Dish,Weather,Temperature,Difficulty,Ingredients,Rating (Subjective to caca),Serving,,
Rendang,cloudy,20,5,??,8,1-3,,
Sausage sizzle,cloudy,18,3,Bread + sausage + onion + ketchup,5,1-2,,
Fish and spinach,cloudy,23,4,Fish + spinach,8,1,,
Airfried potato,cloudy,19,2,Potato,9,1,,
Airfried cauliflower,cloudy,19,2,Cauliflower,9,1,,
Chicken Katsu,cloudy,20,5,Chicken + breadcrumbs,8,1,,
Airfried cauliflower,cloudy,20,2,Cauliflower,9,1,,
Indomie goreng,cloudy,19,3,Indomie,7,1,,
Nasi goreng,mild showers,21,3,Nasi malem+ nas gor sachet,7,1,,
Corn soup,mild showers,16,3,Corn + egg + onion,8,1-2,,
Orak arik,cloudy,11,3,Carrot + buncis + egg,8,1-2,,
Spaghetti,cloudy,11,3,Spaghetti + ground beef + barilla,9,1,,
Pancake,cloudy,12,4,Milk + flour + egg + topping,7,1,,
Burito wrap,cloudy,12,4,Ground beef + wrap,7,1-2,,
Cereal,mild showers,16,2,Milk + cereal,6,1,,
Nasi telor,mild showers,13,2,Nasi + telor,9,1,,
Brocolli,cloudy,18,4,Brocolli + garlic,7,1,,
Bakpao,cloudy,16,5,Flour + ?? + red bean paste,7,1-2,,
Pastel tutup,cloudy,17,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Nasi goreng pucet,cloudy,16,4,Nasi malem + kecap + egg + mixed veggie,7,1,,
Pastel tutup,cloudy,16,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Pad thai,cloudy,16,4,Pad thai noodles + kecap + ??,7,1-2,,
Pad thai,clear,19,4,Pad thai noodles + kecap + ??,7,1-2,,
Sop,clear,16,4,Chicken balls + mixed veggie + onion,8,1-2,,
Sop,cloudy,19,4,Chicken balls + mixed veggie + onion,8,1-2,,
Corn dog,cloudy,18,5,Sausage + flour + skewer,7,1,,
Honey chicken sesame,clear,21,5,Chicken + honey + sesame + ??,9,1,,
Potato and ham,clear,18,3,Potato + ham,6,1,,
Spam,thunderstorm,21,3,Spam + nasi,7,1,,
Ketan item,rain,19,3,Ketan item + sugar + milk,9,1-4,,
Ketan item,cloudy,14,3,Ketan item + sugar + milk,9,1-4,,
Brownie,cloudy,12,4,Cocoa + flour + milk + egg,8,1-4,,
Brownie,cloudy,13,4,Cocoa + flour + milk + egg,8,1-4,,
Spam,cloudy,13,3,Spam + nasi,7,1,,
Balado chicken,cloudy,14,5,Chicken + balado sauce,9,1,,
Ketan item,rain,14,3,Ketan item + sugar + milk,9,1-4,,
Indomie goreng,rain,14,3,Indomie,7,1,,
Cereal,mild showers,18,2,Milk + cereal,6,1,,
Sukiyaki,mild showers,17,5,Beef slices + chinese cabbage + fish balls,9,1-2,,
Congee,mild showers,22,4,Nasi + chicken,8,1-2,,
Nasi goreng cabbage,mild showers,20,4,Nasi lama + cabagge + kecap,6,1,,
Pepper lunch,mild showers,16,5,Beef slices + nasi + butter + pepper,10,1,,
Lidah kucing,mild showers,16,6,baking ??,9,1-4,,
Airfried potato,mild showers,17,2,Potato,9,1,,
Bakwan jagung,clear,15,3,Corn + batter,9,1,,
Garlic bread,rain,11,1,Store bought garlic bread,6,1-5,,
Bagelos,rain,13,1,Bagelos,7,1,,
Sayur tumis,mild showers,13,3,Sayur + garlic,7,1,,
Bagelos,mild showers,17,1,Bagelos,7,1,,
Onigiri,mild showers,16,2,Rice + seaweed,8,1,,
Nasi goreng,cloudy,16,3,Nasi malem+ nas gor sachet,7,1,,
Spaghetti,cloudy,15,3,Spaghetti + ground beef + barilla,9,1,,
Spring roll,cloudy,17,4,Spring roll + bihun + cabbage,8,1-2,,
Airfried potato,cloudy,15,2,Potato,9,1,,
Dumplings,thunderstorm,19,4,Dumpling wrap + pork + ginger + chives,9,2-4,,
Burrito meat,rain,13,4,Ground beef + ??,7,1,,
Bagelos,light cloud,17,1,Bagelos,7,1,,
Mum's chicken,cloudy,12,1,Mums chicken,7,1,,
Tonkatsu,clear,20,4,Pork + ??,7,1,,
Bakmi kecap,clear,18,4,Bakmi + kecap,7,1,,
Dumplings,clear,18,4,Dumpling wrap + pork + ginger + chives,9,2-4,,
Okonomiyaki,rain,20,4,Cabagges + mayo + bbq sauce + egg,8,1,,
Airfried potato,mild showers,17,2,Potato,9,1,,
Bagelos,rain,12,1,Bagelos,7,1,,
Japanese hamburger,mild showers,10,4,Ground beef + ??,8,1,,
Tempe kecap,mild showers,12,4,Tempe + kecap + garlic + onion,8,1,,
Indomie goreng,mild showers,12,3,Indomie + telor,7,1,,
Burrito meat,cloudy,14,4,Ground beef + ??,7,1,,
Egg drop soup,cloudy,14,3,Egg + stock??,7,1-2,,
Capcai,rain,19,4,Veggies + fish balls,8,1-2,,
Mushroom spaghetti,rain,14,4,Spaghetti + mushroom sauce,9,1,,
Bagelos,cloudy,17,1,Bagelos,7,1,,
Dominos pizza,cloudy,13,1,Dominos,7,1-3,,
Pancake,cloudy,15,4,Milk + flour + egg + topping,7,1,,
Scallion noodles,cloudy,15,3,Scallion + noodles,6,1,,
Capcai,cloudy,20,4,Veggies + fish balls,8,1-2,,
Airfried potato,mild showers,17,2,Potato,9,1,,
Airfried cauliflower,mild showers,17,2,Cauliflower,9,1,,
Bagelos,rain,9,1,Bagelos,5,1,,
Honey chicken sesame,mild showers,8,5,Chicken + honey + sesame + ??,9,1,,
Bagelos,mild showers,8,1,Bagelos,7,1,,
Steam fish,mild showers,7,4,Ikan + ??,8,1,,
Garlic bread,cloudy,9,1,Store bought garlic bread,6,1-5,,
Spicy mayo tuna sushi,cloudy,12,3,Nasi + seaweed + spicy mayo + tuna,8,1,,
Kinchi spring rolls,cloudy,11,4,Spring roll + kimchi,6,1,,
Mie pedas,rain,17,4,Angel hair + gocujang + cucumber,8,1,,
Japanese hamburger,rain,13,4,Ground beef + ??,8,1,,
Bagelos,light cloud,18,1,Bagelos,7,1,,
Mie pedas,light cloud,16,4,Angel hair + gocujang + cucumber,8,1,,
Dunedin noodle house,cloudy,14,1,Noodle house,8,1,,
Sop,cloudy,14,4,Chicken balls + mixed veggie + onion,8,1-2,,
Mie pedas,light cloud,15,4,Angel hair + gocujang + cucumber,8,1,,
Bakpao,light cloud,12,5,Flour + ?? + red bean paste,7,1-2,,
Bagelos,light cloud,16,1,Bagelos,7,1,,
Kimchi jjigae,light cloud,14,5,Kimchi + fish balls + chinese cabbage + gocujang,8,1-3,,
Nasi goreng,cloudy,17,4,Nasi malem + kecap + bacon,7,1,,
Kimchi jjigae,cloudy,17,5,Kimchi + fish balls + chinese cabbage + gocujang,8,1-3,,
Bagelos,cloudy,10,1,Bagelos,7,1,,
Congee,cloudy,10,4,Nasi + chicken,8,1-2,,
Congee,light cloud,15,4,Nasi + chicken,8,1-2,,
Bakso,rain,11,4,Bakso + mie,8,1-2,,
Bagelos,cloudy,15,1,Bagelos,7,1,,
Bakso,cloudy,11,4,Bakso + mie,8,1-2,,
Bakso,cloudy,14,4,Bakso + mie,8,1-2,,
Corn soup,light cloud,13,3,Corn + egg + onion,8,1-2,,
Tahu goreng,mild showers,14,3,Tahu + nasi,9,1,,
Corn soup,mild showers,14,3,Corn + egg + onion,8,1-2,,
Bagelos,mild showers,14,1,Bagelos,7,1,,
Bakso,mild showers,13,4,Bakso + mie,8,1-2,,
Nasi telor,cloudy,13,2,Nasi + telor,9,1,,
Indomie kuah,cloudy,13,3,Indomie kuah + telor,9,1,,
Japchae,cloudy,12,5,Japchae noodles + carrot +kecap??,8,1,,
Spaghetti,cloudy,12,3,Spaghetti + ground beef + barilla,9,1,,
Mochi,thunderstorm,12,7,Glutionous rice flour + red bean paste + black sesame paste,10,1,,
Onigiri,mild showers,13,2,Rice + seaweed,8,1,,
Jajangmyeon,mild showers,13,5,Jajangmyeon noodles + black bean paste,8,1,,
Pancake,light cloud,11,4,Milk + flour + egg + topping,7,1,,
Airfried potato,cloudy,15,2,Potato,9,1,,
Chopsticks,cloudy,12,1,Chopsticks,8,1,,
Salmon,cloudy,15,4,Salmon + butter + ??,9,1,,
Naan bread,cloudy,13,5,Yogurt + ??,7,1-4,,
Kimchi jeon,clear,17,4,Kimchi + batter,7,1,,
Pain au chocolate,clear,14,8,Butter + dough + chocolate,9,1-3,,
Bagelos,mild showers,16,1,Bagelos,7,1,,
Kfc croissant,mild showers,14,8,Butter + dough + kfc,9,1,,
Sushi,cloudy,12,4,Filling + rice + seaweed,8,1,,
Dumplings,cloudy,10,4,Dumpling wrap + pork + ginger + chives,9,2-4,,
Airfried potato,clear,15,2,Potato,9,1,,
Bakmi ayam,light cloud,10,5,Bakmi + ayam + ??,9,1,,
Airfried tofu,light cloud,19,3,Tofu,9,1,,
Tteokboki,rain,12,5,Tteok + fish tofu + fish balls + gocugaru,9,1,,
Bagelos,cloudy,18,1,Bagelos,7,1,,
Spam,cloudy,12,3,Spam + nasi,7,1,,
Mushroom soup,cloudy,18,4,Mushroom + ??,8,1,,
Teriyaki tofu,cloudy,15,5,Tofu + teriyaki sauce,8,1,,
Apple crumble,cloudy,15,5,Apple + crumble + sugar??,8,1-3,,
Chicken burger,mild showers,15,5,Chicken + burger buns + lettuce + tomato,9,1,,
Kimchi fried rice,mild showers,12,4,Kimchi + rice,7,1,,
Sate,mild showers,17,7,Chicken + skewer + peanut sauce,9,1,,
Siomay,mild showers,16,7,Warehu + flour + peanut sauce,10,1-2,,
Siomay,mild showers,18,7,Warehu + flour + peanut sauce,10,1-2,,
Black pepper beef,mild showers,18,5,Black pepper + beef + capsicum + carrot,9,1,,
Curry jajangmyeon,mild showers,16,5,Curry tablet + jajangmyeon noodles,8,1,,
Pizza,rain,13,6,Dough + tomato + basil + mozarella,9,1,,
Nasi telor,rain,13,2,Nasi + telor,9,1,,
Carbonara,cloudy,16,4,Cream + spaghetti + mushroom,8,1,,
Sushi,cloudy,13,4,Filling + rice + seaweed,8,1,,
Kwetiao,cloudy,15,5,Kwetiao + carrot + sambel + kecap,9,1,,
Cauliflower wings,cloudy,12,4,Cauliflower + batter,9,1,,
Jagung bakar,mild showers,15,6,Corn cob,9,1,,
Steak and mushrooms,mild showers,15,5,Beef cut + mushroom,9,1,,
Spaghetti,mild showers,14,3,Spaghetti + ground beef + barilla,9,1,,
Bagelos,rain,18,1,Bagelos,7,1,,
Japanese hamburger,mild showers,15,4,Ground beef + ??,8,1,,
Airfried potato,mild showers,15,2,Potato,9,1,,
Peri peri chicken,mild showers,10,5,Sriracha + chicken,8,1,,
Biang biang noodles,mild showers,9,6,Ginger + garlic + pulled noodles,7,1,,
Sushi,mild showers,8,4,Filling + rice + seaweed,8,1,,
Wakame salad,mild showers,8,1,Wakame salad,8,1-6,,
Pastel tutup,mild showers,7,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Sweet and sour chicken,rain,11,6,Chicken + sweet and sour sauce,8,1,,
Burito wrap,rain,10,4,Ground beef + wrap,7,1-2,,
Bagelos,cloudy,13,1,Bagelos,7,1,,
Veggie egg stir fry,cloudy,11,4,Veggie + egg,8,1,,
Steak and mushrooms,cloudy,10,5,Beef cut + mushroom,9,1,,
Salad,cloudy,10,3,Lettuce + tomato + cucumber,9,1,,
Gyuudon,cloudy,11,4,Onion + beef strips,8,1,,
Bakwan jagung,rain,9,3,Corn + batter,9,1,,
Crocodile (pergedel),rain,9,4,Potato + egg,9,1,,
Bagelos,light cloud,14,1,Bagelos,7,1,,
Brocolli,rain,11,4,Brocolli + garlic,7,1,,
Pastel tutup,mild showers,11,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Cha tahu sayur,mild showers,10,4,Tahu + sayur,8,1,,
Spring rolls,rain,11,4,Spring roll + bihun + cabbage,8,1-2,,
Pastel tutup,rain,11,5,Potato + mixed veggie + bihun + egg,7,1-4,,
Bagelos,cloudy,11,1,Bagelos,7,1,,
Pastel tutup,cloudy,10,5,Potato + mixed veggie + bihun + egg,7,1-4,,
K BBQ,cloudy,8,5,Beef strips + kimchi,10,1,,
Nasi goreng,mild showers,11,4,Nasi malem + kecap + telor,8,1,,
Indomie kuah,mild showers,9,3,Indomie kuah + telor,9,1,,
Bagelos,cloudy,12,1,Bagelos,7,1,,
Inari sushi,cloudy,11,4,Filling + rice + inari,8,1,,
Corn dog,light cloud,11,5,Sausage + flour + skewer,7,1,,
Dumplings,light cloud,10,4,Dumpling wrap + pork + ginger + chives,9,2-4,,
